,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
48,stations,{'all': 1},200,"{'lon': -76.15, 'lat': 43.05}",1547396100.0,5140405.0,"{'temp': 263.82, 'pressure': 1030, 'humidity': 56, 'temp_min': 262.05, 'temp_max': 266.45}",,Syracuse,,,"{'type': 1, 'id': 3050, 'message': 0.0039000000000000003, 'country': 'US', 'sunrise': 1547382833, 'sunset': 1547416407}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 2.1, 'deg': 90}"
49,stations,{'all': 48},200,"{'lon': 13.84, 'lat': -11.2}",1547397768.0,3346015.0,"{'temp': 298.526, 'pressure': 1011.22, 'humidity': 100, 'temp_min': 298.526, 'temp_max': 298.526, 'sea_level': 1024.06, 'grnd_level': 1011.22}",,Sumbe,,,"{'message': 0.0032, 'country': 'AO', 'sunrise': 1547355114, 'sunset': 1547400897}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 2.36, 'deg': 264.503}"
50,stations,{'all': 20},200,"{'lon': 133.39, 'lat': 67.55}",1547397768.0,2013465.0,"{'temp': 225.301, 'pressure': 1002.71, 'humidity': 0, 'temp_min': 225.301, 'temp_max': 225.301, 'sea_level': 1053.45, 'grnd_level': 1002.71}",,Verkhoyansk,,,"{'message': 0.06670000000000001, 'country': 'RU', 'sunrise': 1547343397, 'sunset': 1547355257}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 1.11, 'deg': 205.503}"
51,stations,{'all': 40},200,"{'lon': 4.76, 'lat': 52.96}",1547396760.0,2757220.0,"{'temp': 282.49, 'pressure': 1000, 'humidity': 87, 'temp_min': 282.15, 'temp_max': 283.15}",,Den Helder,,,"{'type': 1, 'id': 1533, 'message': 0.0032, 'country': 'NL', 'sunrise': 1547365673, 'sunset': 1547394726}",10000.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 11.3, 'deg': 280, 'gust': 19}"
52,,,404,,,,,city not found,,,,,,,
53,stations,{'all': 0},200,"{'lon': 99.83, 'lat': 52.51}",1547397769.0,1496073.0,"{'temp': 238.301, 'pressure': 817.08, 'humidity': 41, 'temp_min': 238.301, 'temp_max': 238.301, 'sea_level': 1066.33, 'grnd_level': 817.08}",,Orlik,,,"{'message': 0.0035, 'country': 'RU', 'sunrise': 1547342741, 'sunset': 1547372012}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 0.86, 'deg': 264.503}"
54,stations,{'all': 75},200,"{'lon': 54.1, 'lat': 17.01}",1547394600.0,286621.0,"{'temp': 298.15, 'pressure': 1017, 'humidity': 61, 'temp_min': 298.15, 'temp_max': 298.15}",,Salalah,,,"{'type': 1, 'id': 7562, 'message': 0.0123, 'country': 'OM', 'sunrise': 1547348166, 'sunset': 1547388526}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.1, 'deg': 110}"
55,stations,{'all': 75},200,"{'lon': 131.14, 'lat': 34.35}",1547395200.0,1899102.0,"{'temp': 281.15, 'pressure': 1022, 'humidity': 75, 'temp_min': 281.15, 'temp_max': 281.15}",,Nagato,,,"{'type': 1, 'id': 7995, 'message': 0.0036000000000000003, 'country': 'JP', 'sunrise': 1547331714, 'sunset': 1547367997}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 1.5, 'deg': 250}"
56,stations,{'all': 88},200,"{'lon': -93.73, 'lat': 16.7}",1547397770.0,3530617.0,"{'temp': 292.351, 'pressure': 946.85, 'humidity': 93, 'temp_min': 292.351, 'temp_max': 292.351, 'sea_level': 1031.36, 'grnd_level': 946.85}",,Cintalapa,{'3h': 0.5775},,"{'message': 0.0035, 'country': 'MX', 'sunrise': 1547383617, 'sunset': 1547424052}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 3.31, 'deg': 359.003}"
57,,,404,,,,,city not found,,,,,,,
